image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,wwr
cmp_b0185.jpg,1024,748,170,82,70,16,2,0.18633336656509308
cmp_b0186.jpg,1024,652,225,128,112,18,6,0.2773279318534743
cmp_b0187.jpg,993,1024,139,86,69,15,4,0.20003302617492863
cmp_b0188.jpg,1024,873,172,99,79,18,3,0.27479382990364937
cmp_b0189.jpg,1024,561,119,61,51,14,3,0.3285681568001655
cmp_b0190.jpg,588,1024,239,121,98,13,7,0.22606305199742646
cmp_b0191.jpg,1024,824,127,70,63,17,4,0.4457020115248134
cmp_b0192.jpg,1024,620,113,63,53,22,1,0.23973455200363128
cmp_b0193.jpg,908,1024,168,75,62,15,5,0.27595455199453256
cmp_b0194.jpg,847,1024,102,44,42,13,4,3.0405380666215627
cmp_b0195.jpg,1024,654,115,64,55,21,2,0.25889878507232306
cmp_b0196.jpg,468,1024,153,125,84,9,9,0.6401530490782941
cmp_b0197.jpg,589,1024,170,104,87,13,5,0.16170038666105788
cmp_b0198.jpg,679,1024,218,117,101,12,8,0.34985756834669984
cmp_b0199.jpg,1024,688,103,57,55,18,2,0.22170227049872923
cmp_b0200.jpg,562,1024,121,51,42,10,3,0.34142221382074417
cmp_b0201.jpg,1024,957,154,85,74,20,3,0.6194906310036223
cmp_b0202.jpg,698,1024,175,108,81,12,6,0.23583478904866714
cmp_b0203.jpg,628,1024,152,83,70,11,6,0.42921843869747367
cmp_b0204.jpg,1024,910,159,38,37,10,3,0.0821051657518417
cmp_b0205.jpg,686,1024,128,52,51,10,3,0.12917013255933313
cmp_b0206.jpg,555,1024,124,58,53,9,4,0.1302257069926167
cmp_b0207.jpg,1024,649,114,36,34,12,1,0.2037854800451482
cmp_b0208.jpg,770,1024,101,46,42,13,3,0.2562776062559156
cmp_b0209.jpg,558,1024,166,92,87,11,7,0.2982198017905009
cmp_b0210.jpg,594,1024,140,89,77,12,6,0.28383596201535904
cmp_b0211.jpg,1024,768,73,36,28,7,3,0.12400811531511546
cmp_b0212.jpg,1024,768,95,57,44,11,3,0.2051953800957785
cmp_b0213.jpg,1024,768,104,59,48,12,3,0.16285173564420538
cmp_b0214.jpg,1024,768,130,69,57,16,2,0.16466609155267087
cmp_b0215.jpg,1024,768,171,78,64,13,3,0.24949359632357143
cmp_b0216.jpg,1024,768,136,68,62,13,5,0.1504798943455569
cmp_b0217.jpg,1024,768,82,33,31,14,2,0.14310014344288308
cmp_b0218.jpg,1024,768,156,79,62,16,3,0.27581350215740585
cmp_b0219.jpg,1024,768,168,87,73,15,4,0.2386965715507615
cmp_b0220.jpg,1024,768,100,53,48,11,4,0.20010429145232894
cmp_b0221.jpg,1024,768,165,90,76,21,3,0.23195495366590635
cmp_b0222.jpg,1024,768,129,75,67,18,3,0.24701375775559753
cmp_b0223.jpg,1024,768,186,89,71,18,3,0.22850667761552065
cmp_b0224.jpg,1024,768,134,77,72,18,4,0.17614465220404596
cmp_b0225.jpg,1024,768,95,52,44,12,3,1.1646110237591334
cmp_b0226.jpg,1024,768,122,62,56,13,3,0.18611075619775513
cmp_b0227.jpg,1024,768,91,32,31,13,2,0.11429146693403891
cmp_b0228.jpg,1024,768,98,63,50,12,4,0.1939743010097436
cmp_b0229.jpg,1024,768,125,67,57,16,2,0.20175520027505586
cmp_b0230.jpg,1024,768,138,87,71,14,5,0.28859477858216565
cmp_b0231.jpg,1024,768,110,57,42,11,3,0.14836674732111996
cmp_b0232.jpg,1024,768,149,76,73,12,5,0.1770194347661641
cmp_b0233.jpg,1024,768,94,45,40,11,3,0.18129990724847814
cmp_b0234.jpg,1024,768,119,71,52,13,4,0.2547188713602961
cmp_b0235.jpg,1024,768,121,88,76,13,5,0.23554847245609814
cmp_b0236.jpg,593,1024,168,99,87,14,5,0.41115260796457936
cmp_b0237.jpg,660,1024,142,72,61,8,5,0.24887684608284297
cmp_b0238.jpg,627,1024,136,55,51,11,4,0.23714281593030132
cmp_b0239.jpg,496,1024,146,76,63,13,3,0.2587453233040186
cmp_b0240.jpg,595,1024,169,101,79,15,4,1.2457531395885846
cmp_b0241.jpg,614,1024,180,88,77,12,4,0.2704604485290062
cmp_b0242.jpg,762,1024,206,122,103,15,6,0.5117425643830328
cmp_b0243.jpg,637,1024,170,78,71,16,4,0.43421446713376427
cmp_b0244.jpg,586,1024,182,93,81,11,5,0.4779342972806399
cmp_b0245.jpg,608,1024,142,83,68,11,6,0.42592854014413595
cmp_b0246.jpg,975,1024,191,113,103,18,5,0.2893188833832988
cmp_b0247.jpg,676,1024,158,101,88,15,5,0.6185618904285302
cmp_b0248.jpg,648,1024,143,100,76,15,6,0.8605329911588441
cmp_b0249.jpg,1024,842,167,76,65,17,4,0.18810317068116242
cmp_b0250.jpg,1024,882,141,75,72,16,3,0.3332895602565734
cmp_b0251.jpg,1024,810,122,66,57,17,3,0.601650295513194
cmp_b0252.jpg,1024,888,149,79,66,20,3,0.4867833898083718
cmp_b0253.jpg,938,1024,157,87,70,17,2,0.34491498433417317
cmp_b0254.jpg,992,1024,163,94,89,16,4,0.379682612091612
cmp_b0255.jpg,1024,743,197,147,113,21,5,0.2621536252476385
cmp_b0256.jpg,1024,902,178,99,91,18,3,0.20528248808314448
cmp_b0257.jpg,1024,834,206,107,98,18,4,0.2727751615588179
cmp_b0258.jpg,1024,996,164,64,55,12,3,0.23519203099590932
cmp_b0259.jpg,762,1024,153,89,81,12,5,0.22130516833314218
cmp_b0260.jpg,1024,753,166,117,99,20,5,0.41380032031633834
cmp_b0261.jpg,943,1024,227,130,113,20,5,0.28066875354704224
cmp_b0262.jpg,1007,1024,203,80,75,15,3,0.19966406415792037
cmp_b0263.jpg,1024,858,178,95,84,16,5,0.24376161664096177
cmp_b0264.jpg,1024,948,165,92,78,19,4,0.27970909205353417
cmp_b0265.jpg,1024,967,160,99,82,16,4,0.26003933115204364
cmp_b0266.jpg,1024,653,187,82,78,19,3,0.1781139392766287
cmp_b0267.jpg,1024,878,305,121,107,20,4,0.2224168881590849
cmp_b0268.jpg,925,1024,163,76,70,16,3,0.27849326859998763
cmp_b0269.jpg,1024,774,150,88,74,18,4,0.2907982112424813
cmp_b0270.jpg,1024,827,109,40,35,11,2,0.19162673272887984
cmp_b0271.jpg,735,1024,199,109,99,18,5,0.2540673415920044
cmp_b0272.jpg,623,1024,165,88,78,13,4,0.23685165632836214
cmp_b0273.jpg,1024,852,214,122,101,21,5,0.2476297327931491
cmp_b0274.jpg,1024,680,211,119,102,20,5,0.4320166572753038
cmp_b0275.jpg,1024,899,217,143,121,20,5,0.31713143558473333
cmp_b0276.jpg,1024,963,189,111,95,19,4,0.24532224034905584
cmp_b0277.jpg,1024,777,175,95,74,17,4,0.2639194044985928
cmp_b0278.jpg,1024,829,211,88,74,16,3,0.1645927035424503
cmp_b0279.jpg,717,1024,147,80,73,15,4,0.27459767209106617
cmp_b0280.jpg,508,1024,186,73,71,11,8,0.38677952462919324
cmp_b0281.jpg,445,606,104,73,53,9,5,1.1331059124052187
cmp_b0282.jpg,502,721,155,86,65,7,9,0.33878414467995493
cmp_b0283.jpg,584,550,127,89,68,12,5,0.27466519042057846
cmp_b0284.jpg,638,510,159,107,80,13,6,0.2830668513156238
cmp_b0285.jpg,767,1024,161,124,109,15,7,0.42025719257478106
cmp_b0286.jpg,650,1024,179,128,110,13,9,0.5490661482184486
cmp_b0287.jpg,474,507,141,76,49,9,5,0.3305364456992882
cmp_b0288.jpg,490,740,125,63,40,9,4,0.30006668631069616
cmp_b0289.jpg,476,500,96,54,41,11,3,0.417621776504298
cmp_b0290.jpg,241,338,98,43,30,6,3,0.3266473478644324
cmp_b0291.jpg,385,625,139,85,55,8,7,0.3584043158866416
cmp_b0292.jpg,539,547,89,52,36,12,2,0.4135434431634718
cmp_b0293.jpg,556,584,76,35,31,9,3,0.18247353391718496
cmp_b0294.jpg,321,487,107,62,46,6,6,0.465519271858544
cmp_b0295.jpg,453,612,161,93,67,11,6,1.5249824397096698
cmp_b0296.jpg,421,590,134,57,45,7,6,0.2570805484510638
cmp_b0297.jpg,494,576,119,62,43,9,4,0.2339159626042028
cmp_b0298.jpg,462,566,137,47,32,7,5,0.2672922769489293
cmp_b0299.jpg,391,585,135,50,41,7,4,0.22277053903390426
cmp_b0300.jpg,441,595,96,36,32,10,2,0.19842294213180614
cmp_b0301.jpg,329,647,148,90,60,7,10,0.6550104674950449
cmp_b0302.jpg,359,659,126,61,43,8,4,0.2063592273396857
cmp_b0303.jpg,371,800,143,85,60,9,7,0.3508115612161715
cmp_b0304.jpg,332,530,94,56,39,8,5,0.258465923593976
cmp_b0305.jpg,614,619,147,90,73,13,4,0.423286166050276
cmp_b0306.jpg,594,581,81,50,38,13,3,0.3483408166128806
cmp_b0307.jpg,416,445,104,52,38,9,4,0.4096778030343078
cmp_b0308.jpg,356,587,129,66,46,7,5,0.24546660769570985
cmp_b0309.jpg,714,704,91,55,44,13,3,0.4432131747483989
cmp_b0310.jpg,506,524,74,33,31,9,3,0.23053116608261243
cmp_b0311.jpg,720,849,144,91,71,15,5,0.3709702632681433
cmp_b0312.jpg,383,646,124,43,36,6,4,0.13802293913302238
cmp_b0313.jpg,362,573,135,68,47,7,6,0.425532341232734
cmp_b0314.jpg,415,630,138,86,59,9,6,0.3764378228954207
cmp_b0315.jpg,594,634,87,49,43,12,3,0.35572862553205753
cmp_b0316.jpg,606,476,78,34,29,10,2,0.42967402941947913
cmp_b0317.jpg,403,953,110,55,43,8,4,0.26364802651127184
cmp_b0318.jpg,592,491,85,42,38,12,3,0.2032065579130516
cmp_b0319.jpg,610,452,69,39,34,9,3,0.19861534818281862
cmp_b0320.jpg,371,349,48,29,22,7,3,0.18912096088435373
cmp_b0321.jpg,482,492,56,29,22,8,2,0.2563530527989333
cmp_b0322.jpg,595,540,100,36,34,11,2,0.24492487739367125
cmp_b0323.jpg,437,599,134,75,53,9,6,0.3677023352527191
